subject,group,trial,error
EC_007,EC,69,0.6879166658
EC_007,EC,70,1.3229166650000002
EC_007,EC,71,2.8045833298
EC_007,EC,72,0.3704166662
EC_007,EC,73,0.0264583333
EC_007,EC,74,1.6933333312
EC_007,EC,75,-0.0793749999
EC_007,EC,76,-0.0529166666
EC_007,EC,77,0.7408333324
EC_007,EC,78,0.9260416655
EC_007,EC,79,2.5664583301
EC_007,EC,80,3.2808333292
EC_007,EC,81,-0.9260416655
EC_007,EC,82,-1.4552083315
EC_007,EC,83,-1.8256249977
EC_007,EC,84,1.0318749987
EC_007,EC,85,1.6668749979000002
EC_007,EC,86,-0.1058333332
EC_007,EC,87,0.3174999996
EC_007,EC,88,0.3968749995
EC_007,EC,89,1.0054166654
EC_007,EC,90,0.2116666664
EC_007,EC,91,1.058333332
EC_007,EC,92,1.6933333312
EC_007,EC,93,-1.5610416647
EC_007,EC,94,3.0427083295
EC_007,EC,95,0.4497916661
EC_007,EC,96,1.8256249977
EC_007,EC,97,3.3337499958000003
EC_007,EC,98,0.4497916661
EC_007,EC,99,-0.8466666656
EC_007,EC,100,-0.3704166662
EC_008,EC,1,10.6362499866
EC_008,EC,2,10.4245833202
EC_008,EC,3,20.4787499742
EC_008,EC,4,2.3018749971
EC_008,EC,5,-3.1220833294
EC_008,EC,6,2.1166666640000003
EC_008,EC,7,4.3391666612
EC_008,EC,8,2.6722916633
EC_008,EC,9,0.5820833326
EC_008,EC,10,1.6668749979000002
EC_008,EC,11,0.5820833326
EC_008,EC,12,3.0427083295
EC_008,EC,13,3.0427083295
EC_008,EC,14,4.8683333272
EC_008,EC,15,2.8045833298
EC_008,EC,16,2.1431249973
EC_008,EC,17,1.2170833318
EC_008,EC,18,5.2652083267
EC_008,EC,19,0.8995833322000001
EC_008,EC,20,-1.2699999984
EC_008,EC,21,3.3072916625
EC_008,EC,22,1.9843749975
EC_008,EC,23,-4.0481249949
EC_008,EC,24,2.0372916641
EC_008,EC,25,3.2014583293000003
EC_008,EC,26,1.0318749987
EC_008,EC,27,2.9368749963000003
EC_008,EC,28,1.852083331
EC_008,EC,29,1.8785416643
EC_008,EC,30,1.7197916645
EC_008,EC,31,-0.4233333328
EC_008,EC,32,1.0318749987
EC_008,EC,33,-1.1112499986
EC_008,EC,34,-2.5664583301
EC_008,EC,35,1.9579166642
EC_008,EC,36,1.3229166650000002
EC_008,EC,37,3.0956249961
EC_008,EC,38,1.0054166654
EC_008,EC,39,2.3018749971
EC_008,EC,40,-0.264583333
EC_008,EC,41,3.2543749959
EC_008,EC,42,2.7516666632
EC_008,EC,43,-3.2279166626
EC_008,EC,44,2.0902083307
EC_008,EC,45,1.3229166650000002
EC_008,EC,46,-2.3547916637
EC_008,EC,47,1.3493749983
EC_008,EC,48,3.4660416623000003
EC_008,EC,49,-1.1112499986
EC_008,EC,50,4.0745833282
EC_008,EC,51,-1.5345833314
EC_008,EC,52,0.5027083327
EC_008,EC,53,2.5399999968
EC_008,EC,54,0.9789583321
EC_008,EC,55,1.5345833314
EC_008,EC,56,-0.0529166666
EC_008,EC,57,2.6722916633
EC_008,EC,58,0.6349999992
EC_008,EC,59,1.0054166654
EC_008,EC,60,0.7408333324
EC_008,EC,61,-0.8731249989000001
EC_008,EC,62,-4.6037499942
EC_008,EC,63,1.0318749987
EC_008,EC,64,-0.5291666660000001
EC_008,EC,65,2.4870833302
EC_008,EC,66,2.2489583305000003
EC_008,EC,67,4.7360416607
EC_008,EC,68,-2.9897916629
EC_008,EC,69,0.793749999
EC_008,EC,70,-0.6879166658
EC_008,EC,71,2.6193749967
EC_008,EC,72,2.1960416639
EC_008,EC,73,3.6247916621
EC_008,EC,74,3.0427083295
EC_008,EC,75,4.8154166606
EC_008,EC,76,0.793749999
EC_008,EC,77,0.5556249993
EC_008,EC,78,1.9314583309
EC_008,EC,79,2.0902083307
EC_008,EC,80,-5.3710416599
EC_008,EC,81,1.7727083311
EC_008,EC,82,0.3968749995
EC_008,EC,83,1.0054166654
EC_008,EC,84,-3.4131249957
EC_008,EC,85,5.1064583269
EC_008,EC,86,4.762499994000001
EC_008,EC,87,0.1322916665
EC_008,EC,88,0.7143749991
EC_008,EC,89,-7.1172916577
EC_008,EC,90,-0.0793749999
EC_008,EC,91,0.1058333332
EC_008,EC,92,0.1322916665
EC_008,EC,93,0.8466666656
EC_008,EC,94,1.9579166642
EC_008,EC,95,1.4816666648
EC_008,EC,96,1.5345833314
EC_008,EC,97,-0.8995833322000001
EC_008,EC,98,2.1960416639
EC_008,EC,99,-0.0793749999
EC_008,EC,100,1.0318749987
EC_009,EC,1,12.7793749839
EC_009,EC,2,12.9910416503
EC_009,EC,3,0.7672916657000001
EC_009,EC,4,3.3602083291
EC_009,EC,5,2.2489583305000003
EC_009,EC,6,6.2970833254
EC_009,EC,7,4.3920833278
EC_009,EC,8,2.0108333308
EC_009,EC,9,-1.058333332
EC_009,EC,10,-2.9633333296
EC_009,EC,11,2.1166666640000003
EC_009,EC,12,-0.264583333
EC_009,EC,13,5.6885416595
EC_009,EC,14,0.7672916657000001
EC_009,EC,15,-0.5027083327
EC_009,EC,16,1.8256249977
EC_009,EC,17,-3.2279166626
EC_009,EC,18,-1.0054166654
EC_009,EC,19,3.5189583289
EC_009,EC,20,2.5929166634
EC_009,EC,21,-0.3174999996
EC_009,EC,22,3.9158333284
EC_009,EC,23,3.2543749959
EC_009,EC,24,3.6512499954
EC_009,EC,25,-2.1166666640000003
EC_009,EC,26,4.2333333280000005
EC_009,EC,27,-1.4552083315
EC_009,EC,28,2.7252083299
EC_009,EC,29,-1.5345833314
EC_009,EC,30,1.6139583313
EC_009,EC,31,1.3758333316
EC_009,EC,32,-1.2435416651
EC_009,EC,33,0.7408333324
EC_009,EC,34,4.0216666616
EC_009,EC,35,-1.3229166650000002
EC_009,EC,36,0.3968749995
EC_009,EC,37,1.6668749979000002
EC_009,EC,38,2.7781249965000003
EC_009,EC,39,1.1906249985
EC_009,EC,40,0.2116666664
EC_009,EC,41,3.4924999956
EC_009,EC,42,2.8045833298
EC_009,EC,43,1.8256249977
EC_009,EC,44,1.852083331
EC_009,EC,45,2.8310416631
EC_009,EC,46,3.5454166622
EC_009,EC,47,-0.5556249993
EC_009,EC,48,-0.4497916661
EC_009,EC,49,-0.2381249997
EC_009,EC,50,0.0264583333
EC_009,EC,51,3.5718749955
EC_009,EC,52,0.9260416655
EC_009,EC,53,1.6933333312
EC_009,EC,54,2.7516666632
EC_009,EC,55,2.1960416639
EC_009,EC,56,2.5399999968
EC_009,EC,57,1.6933333312
EC_009,EC,58,2.5399999968
EC_009,EC,59,3.439583329
EC_009,EC,60,2.7516666632
EC_009,EC,61,0.0793749999
EC_009,EC,62,0.6085416659
EC_009,EC,63,-1.2170833318
EC_009,EC,64,1.5345833314
EC_009,EC,65,1.2170833318
EC_009,EC,66,0.4497916661
EC_009,EC,67,0.2381249997
EC_009,EC,68,2.5664583301
EC_009,EC,69,3.3602083291
EC_009,EC,70,-0.3174999996
EC_009,EC,71,1.058333332
EC_009,EC,72,2.6458333300000003
EC_009,EC,73,1.3229166650000002
EC_009,EC,74,1.8256249977
EC_009,EC,75,3.0956249961
EC_009,EC,76,0.3174999996
EC_009,EC,77,0.0529166666
EC_009,EC,78,1.5610416647
EC_009,EC,79,0.3968749995
EC_009,EC,80,-0.6879166658
EC_009,EC,81,1.5610416647
